Country,2018,2017,2016,2015,2014,2007-2008 average,2002-2003 average
Australia,0.0,0.23199668977015303,0.2658266266691752,0.29111192814128944,0.3143112674308772,0.31909901342861224,0.2508947846383566
Austria,0.0,0.30004347893228484,0.4237113809102826,0.3537485273507956,0.2843688248824334,0.4614757194159177,0.22563047155654647
Belgium,0.0,0.4453222317984775,0.4985880815470264,0.4160774281289222,0.4630231568363438,0.45347013979013867,0.5262811206159306
Canada,0.0,0.26409219864164557,0.26055376628217036,0.27958124602654183,0.24099131113456373,0.3078003896853378,0.2567009616647275
Czech Republic,0.0,0.15019212808940965,0.14236256096592975,0.11767077384972235,0.11215097535401039,0.11769505524332449,0.09016082681151454
Denmark,0.0,0.7374491576941407,0.7520291016048868,0.8473694578000716,0.856006048451572,0.8126661358055504,0.8946954956616741
Finland,0.0,0.42449681798745686,0.439959468971109,0.5504925861513418,0.5940666531321944,0.417009542409391,0.3498451938102202
France,0.0,0.42800110359244076,0.38425972957179444,0.36765110215043084,0.36811340152124755,0.3825212532582092,0.39047586644683463
Germany,0.0,0.6674050801316832,0.6992963875178236,0.5231764253933064,0.41873457971211986,0.3751845227727566,0.2767014078693847
Greece,0.0,0.15624838839887356,0.18915118169830794,0.12191957700495647,0.10548389650454144,0.18753345654776854,0.20842174171599578
Hungary,0.0,0.11080571885098316,0.16605207440420522,0.13397420460406165,0.10893242891862161,0.07606948834420646,0.014801889602942278
Iceland,0.0,0.28377148809402575,0.2843904421176821,0.23952196559440625,0.2207750962379521,0.3039557644679296,0.16020084566596196
Italy,0.0,0.3010205030962071,0.27468186297216457,0.2209581947042634,0.187219150901812,0.20424457123979323,0.18128526350827223
Japan,0.0,0.22770562693189958,0.20367037923882916,0.2021079455676952,0.19812986048501294,0.18082544231059777,0.21517548754480453
Korea,0.0,0.1438300417432827,0.15903368781772612,0.13818337034751338,0.13066643003947567,0.07861540767554367,0.05588670262473062
Luxembourg,0.0,0.9957398541015055,1.0007690545747232,0.9522967256664804,1.0643340945779116,0.9466056999920844,0.8230769918576787
Netherlands,0.0,0.6036873377699473,0.6487430921001454,0.7486796559450645,0.6350518897048977,0.8061940022202929,0.802203589121922
New Zealand,0.0,0.2309566901387476,0.253065685340783,0.26514092491651253,0.2694640299007433,0.2847082028715638,0.22429893700416415
Norway,0.0,0.9927170554478362,1.121605757757862,1.0457360585617668,1.0004284228884042,0.9182975150651594,0.9051030230014065
Poland,0.0,0.13468834681363223,0.14708926224867278,0.09583636854655993,0.08563202657503827,0.08632477280118911,0.000020886201380733483
Portugal,0.0,0.17911543395552357,0.171298060522685,0.15818585479624153,0.18951877437565914,0.2458167109161087,0.24302902769769485
Slovak Republic,0.0,0.131963437713977,0.12104299532601169,0.10125511746177948,0.08608632489605964,0.09697612849812517,0.03605706465653367
Slovenia,0.0,0.15891920680884614,0.1870618111586857,0.14923156003451968,0.12453398407770078,0.12510336647671658,0.0
Spain,0.0,0.19494870788555305,0.3426755217672872,0.11675551768751552,0.1344332136184399,0.40870632225054454,0.2463389333142689
Sweden,0.0,1.0188779359599804,0.9406814259235242,1.4045491717720666,1.0944020252667392,0.9575940564008498,0.8130866913665445
Switzerland,0.0,0.4704312730199756,0.532242542692115,0.5078423758439131,0.49387014432139126,0.3970339345538478,0.34163751281846577
United Kingdom,0.0,0.6988756835414284,0.7001135908395134,0.7047584636884292,0.7007014362134916,0.39215145501839915,0.3267881451511025
United States,0.0,0.17680256560360408,0.18609958910034602,0.16752562716262975,0.1856877552852462,0.17018640730101145,0.13790464932797913
TOTAL DAC,0.0,0.31141231718802476,0.32212405975238056,0.29802226221086436,0.2958588106250924,0.2837403475020641,0.23583515375850306
DAC-EU countries,0.0,0.4976455070220441,0.5146661934603047,0.46773366239400493,0.42136576747286636,0.39666146524289037,0.3424700761506473
Average country effort,0.0,0.3854311631884884,0.4074048884040032,0.39789481740430493,0.3807662843413397,0.3822500743808273,0.0
