Country,2002-2003 average,2007-2008 average,2014,2015,2016,2017,2018
Australia,1103.67,2811.295,4382.42,3493.61,3277.52,3035.96,3149.0
Austria,512.47,1760.9850000000001,1234.52,1323.51,1635.48,1251.27,1167.22
Belgium,1462.495,2168.17,2446.19,1904.19,2300.16,2196.17,2347.97
Canada,2017.38,4437.2,4240.04,4277.23,3930.44,4304.89,4640.51
Czech Republic,67.99,214.04500000000002,212.15,199.0,260.24,304.12,305.36
Denmark,1695.7,2682.755,3003.27,2565.57,2369.19,2448.02,2576.83
Finland,510.34000000000003,1073.535,1634.57,1288.0,1059.61,1083.79,984.0
France,6369.62,10395.57,10620.32,9039.3,9621.67,11330.86,12839.67
Germany,6054.305,13135.785,16566.2,17940.21,24735.69,25005.06,25670.38
Greece,319.145,601.99,247.44,238.7,368.53,313.58,290.44
Hungary,21.23,105.205,144.03,155.55,199.12,148.68,284.94
Iceland,15.155000000000001,48.33,37.33,39.86,58.72,68.27,74.21
Ireland,450.655,1260.0,815.79,718.32,802.59,838.03,934.25
Italy,2382.49,4415.63,4009.18,4003.37,5087.39,5858.03,5098.34
Japan,9081.31,8648.925,9483.29,9202.64,10416.8,11462.65,10064.27
Korea,322.345,749.225,1856.73,1915.39,2246.16,2201.35,2419.97
Luxembourg,170.29500000000002,395.235,423.22,362.88,391.04,424.18,473.36
Netherlands,3655.09,6608.43,5572.97,5725.51,4966.26,4958.45,5616.57
New Zealand,143.65,333.88,506.14,441.74,446.85,449.75,556.03
Norway,1869.98,3870.295,5085.94,4277.66,4380.08,4124.98,4257.62
Poland,20.7,367.72,451.84,440.89,662.95,679.46,759.18
Portugal,321.09000000000003,545.345,430.23,308.03,343.07,380.74,387.79
Slovak Republic,10.875,79.53999999999999,83.21,84.91,106.01,119.2,137.74
Slovenia,0.0,60.87,61.54,63.29,81.3,75.79,83.51
Spain,1836.7350000000001,6003.3150000000005,1876.83,1396.74,4223.67,2560.3,2539.85
Sweden,2205.835,4535.344999999999,6232.72,7089.3,4893.74,5563.25,5847.0
Switzerland,1119.18,1861.25,3521.94,3529.33,3582.47,3146.6,3097.06
United Kingdom,5595.395,10674.2,19263.21,18552.85,18052.8,18103.4,19462.21
United States,14804.795,24111.84,33095.5,30985.54,34420.98,34731.98,33787.08
TOTAL DAC,64139.92,113955.90999999999,137538.76,131563.12,144920.53,147168.81,149852.36
DAC-EU countries,33662.455,67083.67000000001,75329.43000000001,73400.12,82160.51,83642.38,87806.61000000002
